sample,type,setting
Ara+3_500gen_770A,illumina-PE,sra://SRR2588658
Ara+3_500gen_770B,illumina-PE,sra://SRR2584668
Ara+3_1000gen_960A,illumina-PE,sra://SRR2584669
Ara+3_1000gen_960B,illumina-PE,sra://SRR2591034
Ara+3_1500gen_1064A,illumina-PE,sra://SRR2584671
Ara+3_1500gen_1064B,illumina-PE,sra://SRR2591035
Ara+3_2000gen_1160A,illumina-PE,sra://SRR2584673
Ara+3_2000gen_1160B,illumina-PE,sra://SRR2588711
Ara+3_5000gen_2175A,illumina-PE,sra://SRR2584677
Ara+3_5000gen_2175B,illumina-PE,sra://SRR2584678
Ara+3_10000gen_4532A,illumina-PE,sra://SRR2591036
Ara+3_10000gen_4532B,illumina-PE,sra://SRR2591037
Ara+3_15000gen_7185A,illumina-PE,sra://SRR2584681
Ara+3_15000gen_7185B,illumina-PE,sra://SRR2584682
Ara+3_20000gen_8602A,illumina-PE,sra://SRR2584683
Ara+3_20000gen_8602B,illumina-PE,sra://SRR2584684
Ara+3_30000gen_10410,illumina-PE,sra://SRR2584685
Ara+3_30000gen_10411,illumina-PE,sra://SRR2588848
Ara+3_40000gen_10953,illumina-SE,sra://SRR1536189
Ara+3_40000gen_10954,illumina-SE,sra://SRR2584694
Ara+3_50000gen_11345,illumina-SE,sra://SRR2584696
Ara+3_50000gen_11346,illumina-PE,sra://SRR2591038
Ara+3_60000gen_11706,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2024-03-18_Psomagen_Illumina/fastq/REL11706_{1|2}.fastq.gz
Ara+3_60000gen_11707,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2024-03-18_Psomagen_Illumina/fastq/REL11707_{1|2}.fastq.gz
Ara+3_70000gen_12069,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/TACC/genomes/0009/2021-08-31_Psomagen_Genomes/REL12069_R{1|2}.fastq.gz
Ara+3_70000gen_12070,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/TACC/genomes/0009/2021-08-31_Psomagen_Genomes/REL12070_R{1|2}.fastq.gz
Ara+3_70000gen_12071,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/TACC/genomes/0009/2021-08-31_Psomagen_Genomes/REL12071_R{1|2}.fastq.gz
Ara+3_75000gen_JEB1703,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2024-03-18_Psomagen_Illumina/fastq/75Kplus3A_LTC-0000011_S_{1|2}.fastq.gz
Ara+3_75000gen_JEB1704,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2024-03-18_Psomagen_Illumina/fastq/75Kplus3B_LTC-0000012_S_{1|2}.fastq.gz
*,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
