sample,type,setting
Ara+5_10000gen_4534A,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode02.fastq.gz
Ara+5_10000gen_4534B,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode03.fastq.gz
Ara+5_20000gen_8604A,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode04.fastq.gz
Ara+5_20000gen_8604A,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-02_MinION_FBC32554/fastq/FBC32554_barcode18.fastq.gz
Ara+5_20000gen_8604A,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-07-29_MinION_FBD36351/fastq/FBD36351_barcode11.fastq.gz
Ara+5_20000gen_8604B,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode05.fastq.gz
Ara+5_20000gen_8604B,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-02_MinION_FBC32554/fastq/FBC32554_barcode19.fastq.gz
Ara+5_30000gen_10432,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode06.fastq.gz
Ara+5_30000gen_10433,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode07.fastq.gz
Ara+5_40000gen_10982,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode08.fastq.gz
Ara+5_40000gen_10983,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode09.fastq.gz
Ara+5_50000gen_11367,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode10.fastq.gz
Ara+5_50000gen_11367,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-02_MinION_FBC32554/fastq/FBC32554_barcode20.fastq.gz
Ara+5_50000gen_11368,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode11.fastq.gz
Ara+5_60000gen_11728,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode12.fastq.gz
Ara+5_60000gen_11729,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode13.fastq.gz
Ara+5_75000gen_JEB1711,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2023-03-28_nanopore_LTEE-75k-A-clones/fastq/FAV71531_pass_barcode05_8e9173c7_ad36453c.fastq.gz
Ara+5_75000gen_JEB1712,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2023-06-08_nanopore_LTEE-75K-B-clones/fastq/FAW52214_pass_barcode11_f37fe127_f1f55164.fastq.gz
*,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
