sample,type,setting
Ara-2_10000gen_4537A,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode30.fastq.gz
Ara-2_10000gen_4537B,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode31.fastq.gz
Ara-2_20000gen_11830,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode33.fastq.gz
Ara-2_20000gen_11831,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode32.fastq.gz
Ara-2_20000gen_11831,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-25_MinION_FBC02325/fastq/FBC02325_barcode49.fastq.gz
Ara-2_30000gen_11832,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode34.fastq.gz
Ara-2_30000gen_11833,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode35.fastq.gz
Ara-2_40000gen_11035,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode36.fastq.gz
Ara-2_40000gen_11035,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-25_MinION_FBC02325/fastq/FBC02325_barcode50.fastq.gz
Ara-2_40000gen_11036,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode37.fastq.gz
Ara-2_50000gen_11333,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode38.fastq.gz
Ara-2_50000gen_11333,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-25_MinION_FBC02325/fastq/FBC02325_barcode70.fastq.gz
Ara-2_50000gen_11333,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-04_MinION_FBC04032/fastq/FBC04032_barcode38.fastq.gz
Ara-2_50000gen_11335,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode39.fastq.gz
Ara-2_50000gen_11335,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-25_MinION_FBC02325/fastq/FBC02325_barcode51.fastq.gz
Ara-2_60000gen_11694,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode40.fastq.gz
Ara-2_60000gen_11695,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode41.fastq.gz
Ara-2_60000gen_11695,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-25_MinION_FBC02325/fastq/FBC02325_barcode52.fastq.gz
Ara-2_75000gen_JEB1697,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2023-03-28_nanopore_LTEE-75k-A-clones/fastq/FAV71531_pass_barcode08_8e9173c7_ad36453c.fastq.gz
Ara-2_75000gen_JEB1698,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2023-06-08_nanopore_LTEE-75K-B-clones/fastq/FAW52214_pass_barcode02_f37fe127_f1f55164.fastq.gz
*,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
