sample,type,setting
Ara-4_500gen_765A,illumina-PE,sra://SRR2584867
Ara-4_500gen_765B,illumina-PE,sra://SRR2584868
Ara-4_1000gen_967A,illumina-PE,sra://SRR2584869
Ara-4_1000gen_967B,illumina-PE,sra://SRR2584870
Ara-4_1500gen_1071A,illumina-PE,sra://SRR2584871
Ara-4_1500gen_1071B,illumina-PE,sra://SRR2591043
Ara-4_2000gen_1167A,illumina-PE,sra://SRR2584873
Ara-4_2000gen_1167B,illumina-PE,sra://SRR2584874
Ara-4_5000gen_2182A,illumina-PE,sra://SRR2591044
Ara-4_5000gen_2182B,illumina-PE,sra://SRR2589049
Ara-4_10000gen_4539A,illumina-PE,sra://SRR2584878
Ara-4_10000gen_4539B,illumina-PE,sra://SRR2589050
Ara-4_15000gen_7180A,illumina-PE,sra://SRR2591045
Ara-4_15000gen_7180B,illumina-PE,sra://SRR2584881
Ara-4_20000gen_8596A,illumina-PE,sra://SRR2584882
Ara-4_20000gen_8596B,illumina-PE,sra://SRR2584883
Ara-4_30000gen_10401,illumina-PE,sra://SRR2584884
Ara-4_30000gen_10402,illumina-PE,sra://SRR2584885
Ara-4_40000gen_10944,illumina-SE,sra://SRR1536188
Ara-4_40000gen_10945,illumina-SE,sra://SRR2584886
Ara-4_50000gen_11336,illumina-SE,sra://SRR2584888
Ara-4_50000gen_11337,illumina-PE,sra://SRR2584889
Ara-4_60000gen_11697,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2024-03-18_Psomagen_Illumina/fastq/REL11697_{1|2}.fastq.gz
Ara-4_60000gen_11698,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2024-03-18_Psomagen_Illumina/fastq/REL11698_{1|2}.fastq.gz
Ara-4_70000gen_12179,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/TACC/genomes/0009/2021-08-31_Psomagen_Genomes/REL12179_R{1|2}.fastq.gz
Ara-4_70000gen_12180,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/TACC/genomes/0009/2021-08-31_Psomagen_Genomes/REL12180_R{1|2}.fastq.gz
Ara-4_70000gen_12181,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/TACC/genomes/0009/2021-08-31_Psomagen_Genomes/REL12181_R{1|2}.fastq.gz
Ara-4_75000gen_JEB1705,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2024-03-18_Psomagen_Illumina/fastq/75K-4A_LTC-0000013_S_{1|2}.fastq.gz
Ara-4_75000gen_JEB1706,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2024-03-18_Psomagen_Illumina/fastq/75K-4B_LTC-0000014_S_{1|2}.fastq.gz
*,reference,https://raw.githubusercontent.com/barricklab/LTEE/7da91974eafac0c5a8f903ae57275795d4395af2/reference/REL606.gbk
