sample,type,setting
MAE-_0gen_1206,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/REL1206_{1|2}.fastq.gz
MAE+_0gen_1207,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/REL1207_{1|2}.fastq.gz
MAE-1_13750gen_JEB807,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB807_{1|2}.fastq.gz
MAE-2_13750gen_JEB808,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB808_{1|2}.fastq.gz
MAE-3_13750gen_JEB809,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB809_{1|2}.fastq.gz
MAE-4_13750gen_JEB810,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB810_{1|2}.fastq.gz
MAE-5_13750gen_JEB811,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB811_{1|2}.fastq.gz
MAE-6_13750gen_JEB812,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB812_{1|2}.fastq.gz
MAE-7_13750gen_JEB813,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB813_{1|2}.fastq.gz
MAE-8_13750gen_JEB814,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB814_{1|2}.fastq.gz
MAE-9_13750gen_JEB815,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB815_{1|2}.fastq.gz
MAE-10_13750gen_JEB816,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB816_{1|2}.fastq.gz
MAE-11_13750gen_JEB817,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-05-19_Psomagen_Illumina/fastq/JEB817_{1|2}.fastq.gz
MAE-11_13750gen_JEB817,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-08-07_SeqCenter_Illumina/fastq/JEB817_S420_R{1|2}_001.fastq.gz
MAE-12_13750gen_JEB818,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB818_{1|2}.fastq.gz
MAE-13_13750gen_JEB819,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB819_{1|2}.fastq.gz
MAE-14_13750gen_JEB820,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB820_{1|2}.fastq.gz
MAE-15_13750gen_JEB821,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-05-19_Psomagen_Illumina/fastq/JEB821_{1|2}.fastq.gz
MAE-15_13750gen_JEB821,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-08-07_SeqCenter_Illumina/fastq/JEB821_S421_R{1|2}_001.fastq.gz
MAE-16_13750gen_JEB822,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB822_{1|2}.fastq.gz
MAE-16_13750gen_JEB822,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-05-19_Psomagen_Illumina/fastq/JEB822_{1|2}.fastq.gz
MAE-17_13750gen_JEB823,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB823_{1|2}.fastq.gz
MAE-18_13750gen_JEB824,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-12-02_Psomagen_Illumina/fastq/JEB824_{1|2}.fastq.gz
MAE-18_13750gen_JEB824,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB855_{1|2}.fastq.gz
