sample,type,setting
MAE-_0gen_REL1206,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode42.fastq.gz
MAE-1_13750gen_JEB807,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode43.fastq.gz
MAE-2_13750gen_JEB808,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode44.fastq.gz
MAE-3_13750gen_JEB809,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode45.fastq.gz
MAE-4_13750gen_JEB810,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode46.fastq.gz
MAE-5_13750gen_JEB811,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode47.fastq.gz
MAE-5_13750gen_JEB811,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-25_MinION_FBC02325/fastq/FBC02325_barcode53.fastq.gz
MAE-5_13750gen_JEB811,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-04_MinION_FBC04032/fastq/FBC04032_barcode26.fastq.gz
MAE-6_13750gen_JEB812,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode48.fastq.gz
MAE-7_13750gen_JEB813,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode49.fastq.gz
MAE-7_13750gen_JEB813,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-04_MinION_FBC04032/fastq/FBC04032_barcode25.fastq.gz
MAE-7_13750gen_JEB813,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-02_MinION_FBC32554/fastq/FBC32554_barcode24.fastq.gz
MAE-8_13750gen_JEB814,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode50.fastq.gz
MAE-8_13750gen_JEB814,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-25_MinION_FBC02325/fastq/FBC02325_barcode54.fastq.gz
MAE-8_13750gen_JEB814,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-04_MinION_FBC04032/fastq/FBC04032_barcode29.fastq.gz
MAE-9_13750gen_JEB815,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode51.fastq.gz
MAE-9_13750gen_JEB815,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-25_MinION_FBC02325/fastq/FBC02325_barcode55.fastq.gz
MAE-10_13750gen_JEB816,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode52.fastq.gz
MAE-10_13750gen_JEB816,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-25_MinION_FBC02325/fastq/FBC02325_barcode56.fastq.gz
MAE-11_13750gen_JEB817,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-25_MinION_FBC02325/fastq/FBC02325_barcode67.fastq.gz
MAE-12_13750gen_JEB818,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-25_MinION_FBC02325/fastq/FBC02325_barcode68.fastq.gz
MAE-12_13750gen_JEB818,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-04_MinION_FBC04032/fastq/FBC04032_barcode30.fastq.gz
MAE-13_13750gen_JEB819,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-02-25_MinION_FBC02325/fastq/FBC02325_barcode69.fastq.gz
MAE-14_13750gen_JEB820,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-04_MinION_FBC04032/fastq/FBC04032_barcode31.fastq.gz
MAE-15_13750gen_JEB821,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-04_MinION_FBC04032/fastq/FBC04032_barcode32.fastq.gz
MAE-16_13750gen_JEB822,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-04_MinION_FBC04032/fastq/FBC04032_barcode33.fastq.gz
MAE-17_13750gen_JEB823,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-04_MinION_FBC04032/fastq/FBC04032_barcode34.fastq.gz
