weekday,date,transfer_recorded,transfer,generation,researcher
Wednesday,2/24/88,0,0,0,Richard Lenski
Thursday,2/25/88,1,1,6.67,Richard Lenski
Friday,2/26/88,2,2,13.33,Richard Lenski
Saturday,2/27/88,3,3,20,Richard Lenski
Sunday,2/28/88,4,4,26.67,Richard Lenski
Monday,2/29/88,5,5,33.33,Richard Lenski
Tuesday,3/1/88,6,6,40,Richard Lenski
Wednesday,3/2/88,7,7,46.67,Richard Lenski
Thursday,3/3/88,8,8,53.33,Richard Lenski
Friday,3/4/88,9,9,60,Mike Travisano
Saturday,3/5/88,10,10,66.67,Mike Travisano
Sunday,3/6/88,11,11,73.33,Mike Travisano
Monday,3/7/88,12,12,80,Mike Travisano
Tuesday,3/8/88,13,13,86.67,Mike Travisano
Wednesday,3/9/88,14,14,93.33,Mike Travisano
Thursday,3/10/88,15,15,100,Richard Lenski
Friday,3/11/88,16,16,106.67,Richard Lenski
Saturday,3/12/88,17,17,113.33,Richard Lenski
Sunday,3/13/88,18,18,120,Richard Lenski
Monday,3/14/88,19,19,126.67,Richard Lenski
Tuesday,3/15/88,20,20,133.33,Richard Lenski
Wednesday,3/16/88,21,21,140,Richard Lenski
Thursday,3/17/88,22,22,146.67,Richard Lenski
Friday,3/18/88,23,23,153.33,Richard Lenski
Saturday,3/19/88,24,24,160,Richard Lenski
Sunday,3/20/88,25,25,166.67,Richard Lenski
Monday,3/21/88,26,26,173.33,Richard Lenski
Tuesday,3/22/88,27,27,180,Richard Lenski
Wednesday,3/23/88,28,28,186.67,Richard Lenski
Thursday,3/24/88,29,29,193.33,Richard Lenski
Friday,3/25/88,30,30,200,Richard Lenski
Saturday,3/26/88,31,31,206.67,Richard Lenski
Sunday,3/27/88,32,32,213.33,Richard Lenski
Monday,3/28/88,33,33,220,Richard Lenski
Tuesday,3/29/88,34,34,226.67,Richard Lenski
Wednesday,3/30/88,35,35,233.33,Richard Lenski
Thursday,3/31/88,36,36,240,Richard Lenski
Friday,4/1/88,37,37,246.67,Richard Lenski
Saturday,4/2/88,38,38,253.33,Richard Lenski
