file,sample,treatment,population,time,clone,MUTATOR_STATUS,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,called_bp,total_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic,mobile_element.IS1,mobile_element.IS150,mobile_element.IS186,mobile_element.IS3,mobile_element.IS4,mobile_element.ISRSO11,mobile_element.mediated.IS1,mobile_element.mediated.IS150,mobile_element.mediated.IS186,mobile_element.mediated.IS3
Ara+1_500gen_768A.gd,Ara+1_500gen_768A,LTEE,Ara+1,500,A,non-mutator,4,3,0,1,0,0,0,0,0,0,4465410,4629812,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Ara+1_500gen_768B.gd,Ara+1_500gen_768B,LTEE,Ara+1,500,B,non-mutator,3,1,0,1,0,0,0,1,0,0,4465410,4629812,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Ara+1_1000gen_958A.gd,Ara+1_1000gen_958A,LTEE,Ara+1,1000,A,non-mutator,4,2,1,1,0,0,0,0,0,0,4465410,4629812,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ara+1_1000gen_958B.gd,Ara+1_1000gen_958B,LTEE,Ara+1,1000,B,non-mutator,2,1,0,0,0,0,0,1,0,0,4465410,4629812,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ara+1_1500gen_1062A.gd,Ara+1_1500gen_1062A,LTEE,Ara+1,1500,A,non-mutator,7,5,0,2,0,0,0,0,0,0,4465410,4629812,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Ara+1_1500gen_1062B.gd,Ara+1_1500gen_1062B,LTEE,Ara+1,1500,B,non-mutator,6,5,0,1,0,0,0,0,0,0,4465410,4629812,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ara+1_2000gen_1158A.gd,Ara+1_2000gen_1158A,LTEE,Ara+1,2000,A,non-mutator,8,4,0,1,0,0,0,3,0,0,4465410,4629812,0,3,0,0,0,1,0,3,0,0,0,0,0,1,0,0
Ara+1_2000gen_1158C.gd,Ara+1_2000gen_1158C,LTEE,Ara+1,2000,B,non-mutator,9,2,1,2,0,1,0,3,0,0,4465410,4629812,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0
Ara+1_5000gen_2173A.gd,Ara+1_5000gen_2173A,LTEE,Ara+1,5000,A,IS-mutator,22,4,2,2,0,1,0,13,0,0,4465410,4629812,0,2,0,0,0,2,0,13,0,0,0,0,0,2,0,0
Ara+1_5000gen_2173B.gd,Ara+1_5000gen_2173B,LTEE,Ara+1,5000,B,IS-mutator,19,7,0,2,0,0,0,10,0,0,4465410,4629812,0,5,0,0,0,2,0,10,0,0,0,0,0,2,0,0
