seq_id,start,end,strand,feat_id,feat_type,gene,desc
"REL606",1,4629812,1,,"region",,
"REL606",1,4629812,1,"","source",,""
"REL606",190,255,1,"ECB_00001","gene","thrL",""
"REL606",190,255,1,"ECB_00001","CDS","thrL","thr operon leader peptide"
"REL606",336,2798,1,"ECB_00002","gene","thrA",""
"REL606",336,2798,1,"ECB_00002","CDS","thrA","bifunctional aspartokinase I/homeserine dehydrogenase I"
"REL606",2800,3732,1,"ECB_00003","gene","thrB",""
"REL606",2800,3732,1,"ECB_00003","CDS","thrB","homoserine kinase"
"REL606",3733,5019,1,"ECB_00004","gene","thrC",""
"REL606",3733,5019,1,"ECB_00004","CDS","thrC","threonine synthase"
"REL606",5232,5528,1,"ECB_00005","gene","yaaX",""
"REL606",5232,5528,1,"ECB_00005","CDS","yaaX","hypothetical protein"
"REL606",5681,6457,-1,"ECB_00006","gene","yaaA",""
"REL606",5681,6457,-1,"ECB_00006","CDS","yaaA","hypothetical protein"
"REL606",6527,7957,-1,"ECB_00007","gene","yaaJ",""
"REL606",6527,7957,-1,"ECB_00007","CDS","yaaJ","predicted transporter"
"REL606",8236,9189,1,"ECB_00008","gene","talB",""
"REL606",8236,9189,1,"ECB_00008","CDS","talB","transaldolase B"
"REL606",9304,9891,1,"ECB_00009","gene","mogA",""
"REL606",9304,9891,1,"ECB_00009","CDS","mogA","molybdenum cofactor biosynthesis protein"
"REL606",9926,10492,-1,"ECB_00010","gene","yaaH",""
"REL606",9926,10492,-1,"ECB_00010","CDS","yaaH","conserved inner membrane protein associated with acetate transport"
"REL606",10641,11354,-1,"ECB_00011","gene","yaaW",""
"REL606",10641,11354,-1,"ECB_00011","CDS","yaaW","hypothetical protein"
"REL606",10828,11313,1,"ECB_00012","gene","htgA",""
"REL606",10828,11313,1,"ECB_00012","CDS","htgA","hypothetical protein"
"REL606",11380,11784,-1,"ECB_00013","gene","yaaI",""
"REL606",11380,11784,-1,"ECB_00013","CDS","yaaI","hypothetical protein"
"REL606",12161,14077,1,"ECB_00014","gene","dnaK",""
"REL606",12161,14077,1,"ECB_00014","CDS","dnaK","molecular chaperone DnaK"
"REL606",14166,15296,1,"ECB_00015","gene","dnaJ",""
"REL606",14166,15296,1,"ECB_00015","CDS","dnaJ","chaperone Hsp40, co-chaperone with DnaK"
"REL606",15386,16728,1,,"repeat_region","IS186","repeat region"
"REL606",15443,16555,1,"ECB_00016","gene","insL-1",""
"REL606",15443,16555,1,"ECB_00016","CDS","insL-1","IS186 hypothetical protein"
"REL606",16749,16958,-1,"ECB_00017","gene","mokC",""
"REL606",16749,16958,-1,"ECB_00017","CDS","mokC","regulatory protein for HokC, overlaps CDS of hokC"
"REL606",17488,18654,1,"ECB_00018","gene","nhaA",""
"REL606",17488,18654,1,"ECB_00018","CDS","nhaA","pH-dependent sodium/proton antiporter"
"REL606",18714,19619,1,"ECB_00019","gene","nhaR",""
"REL606",18714,19619,1,"ECB_00019","CDS","nhaR","DNA-binding transcriptional activator"
"REL606",19658,20617,-1,"ECB_00020","gene","ECB_00020",""
"REL606",19658,20617,-1,"ECB_00020","CDS","ECB_00020","hypothetical protein"
"REL606",20630,21775,-1,"ECB_00021","gene","ECB_00021",""
"REL606",20630,21775,-1,"ECB_00021","CDS","ECB_00021","putative usher protein"
